title,genre
Minecraft,action adventure adventure 3d sandbox firstperson fantasy fantasy
Persona 5,roleplaying japanesestyle
Persona 4 Golden,roleplaying consolestyle rpg consolestyle rpg japanesestyle
SSX 3,sports alternative snowboarding
Tom Clancy's Splinter Cell,action adventure modern
Grand Theft Auto III,action adventure modern modern openworld
Quake III Arena,action shooter firstperson scifi
Homeworld,strategy realtime scifi scifi general
Okami,action adventure fantasy
The Elder Scrolls IV: Oblivion,roleplaying firstperson firstperson westernstyle
Fallout 3,roleplaying firstperson firstperson westernstyle
Gears of War 2,action shooter shooter thirdperson scifi scifi arcade
SoulCalibur II,action fighting 3d
World Soccer Winning Eleven 6 International,sports traditional soccer sim
NFL 2K3,sports traditional football sim
Mass Effect 3,roleplaying action rpg action rpg
Metal Gear Solid V: The Phantom Pain,modern action adventure modern openworld
Skies of Arcadia,roleplaying consolestyle rpg
The Legend of Zelda: Skyward Sword,action adventure fantasy general fantasy openworld
Mario Kart Super Circuit,driving racing kart
Rock Band 3,action miscellaneous rhythm music music
Viewtiful Joe,action beatemup
Test Drive Le Mans,driving racing gt  street
NBA 2K1,sports traditional basketball sim
Castlevania: Symphony of the Night,action platformer 2d
Star Wars: Knights of the Old Republic,roleplaying thirdperson thirdperson general
Virtua Fighter 4: Evolution,action fighting 3d
Uncharted 4: A Thief's End,general modern action adventure linear
Braid,action platformer platformer 2d 2d
Mass Effect 3,roleplaying action rpg action rpg
Paper Mario,roleplaying consolestyle rpg
Wipeout XL,driving racing futuristic
Grand Theft Auto: San Andreas,action adventure modern
INSIDE,action platformer 2d
World of Warcraft,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Grand Theft Auto: San Andreas,action adventure modern modern openworld
Flipnote Studio,miscellaneous general application
World Soccer Winning Eleven 7 International,sports traditional soccer sim
NBA 2K2,sports traditional basketball sim
SoulCalibur II,action fighting 3d
The Elder Scrolls V: Skyrim,roleplaying firstperson firstperson westernstyle
Prince of Persia: The Sands of Time,action adventure fantasy
Call of Duty 4: Modern Warfare,action shooter shooter firstperson modern modern arcade
Divinity: Original Sin II - Definitive Edition,roleplaying westernstyle
God of War III,action adventure fantasy fantasy linear
NFL 2K3,sports traditional football sim
SSX Tricky,sports alternative snowboarding
NHL 2002,sports traditional ice hockey sim
Guitar Hero II,action miscellaneous rhythm music music
Prince of Persia: The Sands of Time,action adventure fantasy
Uncharted 3: Drake's Deception,action adventure modern modern linear
Rock Band,action miscellaneous rhythm music music
Journey,action platformer 3d
Bloodborne,fantasy roleplaying action adventure general action rpg
Eternal Darkness: Sanity's Requiem,action adventure horror
Warcraft III: Reign of Chaos,strategy realtime fantasy general fantasy
SSX 3,sports alternative snowboarding
The Sims,simulation miscellaneous virtual life virtual virtual life
Banjo-Kazooie,action platformer 3d
Sid Meier's Gettysburg!,strategy realtime wargame realtime general
Rock Band 2,action miscellaneous rhythm music music
Forza Motorsport,driving racing gt  street
Celeste,action platformer 2d
Madden NFL 2004,sports traditional football sim
Super Street Fighter IV,action fighting fighting 3d 2d 3d
World Soccer Winning Eleven 7 International,sports traditional team soccer sim sim
Advance Wars,strategy turnbased modern
Vagrant Story,roleplaying action rpg
What Remains of Edith Finch,adventure 3d firstperson
Team Fortress 2,action shooter shooter firstperson modern tactical modern
System Shock 2,action adventure scifi scifi survival
Tom Clancy's Splinter Cell: Chaos Theory,action adventure modern general modern
Final Fantasy XII,roleplaying consolestyle rpg
Undertale,roleplaying japanesestyle
Madden NFL 2003,sports traditional football sim
The Witcher 3: Wild Hunt,action rpg roleplaying action rpg
Super Mario World: Super Mario Advance 2,action platformer 2d
ESPN NFL 2K5,sports traditional football sim
Super Smash Bros. Melee,action fighting 3d
Madden NFL 2003,sports traditional football sim
Rome: Total War,strategy realtime historic general historic
Forza Motorsport 3,driving racing simulation gt  street gt  street automobile
Okami HD,action adventure general
Undertale,roleplaying general japanesestyle
Batman: Arkham Asylum,action adventure fantasy general fantasy
Super Mario Sunshine,action platformer 3d
SSX 3,sports alternative snowboarding
SoulCalibur II,action fighting 3d
Tony Hawk's Pro Skater,sports alternative skateboarding
Thief: The Dark Project,action adventure fantasy general fantasy
Fire Emblem: Awakening,strategy turnbased fantasy fantasy tactics
Age of Empires II: The Age of Kings,strategy realtime historic historic command
Final Fantasy X,roleplaying consolestyle rpg
Prince of Persia: The Sands of Time,action adventure fantasy
The Walking Dead: A Telltale Games Series,miscellaneous adventure compilation compilation pointandclick
Unreal Tournament (1999),action shooter shooter firstperson scifi scifi arcade
Sid Meier's Alpha Centauri,strategy turnbased scifi scifi 4x
Wave Race 64,driving racing snow  water
Galactic Civilizations II: Twilight of the Arnor,strategy turnbased scifi scifi 4x
Super Smash Bros. for Wii U,action fighting fighting 3d 2d 2d 3d
Guitar Hero II,miscellaneous rhythm music
Into the Breach,strategy turnbased tactics
Final Fantasy VII,roleplaying consolestyle rpg
Rock Band,action miscellaneous rhythm music music
Chrono Trigger,roleplaying consolestyle rpg consolestyle rpg japanesestyle
Bayonetta 2,action adventure linear
Journey,action adventure general platformer platformer 3d 3d
Xenoblade Chronicles,roleplaying action rpg consolestyle rpg action rpg
Conker's Bad Fur Day,action platformer 3d
Medal of Honor,action shooter firstperson historic
PaRappa the Rapper,miscellaneous rhythm music
Rock Band 2,action miscellaneous rhythm music music
Mario Kart 8 Deluxe,other racing arcade automobile
INSIDE,action platformer 2d
The ICO & Shadow of the Colossus Collection,miscellaneous action adventure fantasy compilation compilation
Rayman Origins,action action adventure platformer fantasy platformer 2d 2d
Metroid Prime 2: Echoes,action shooter firstperson scifi
Out of the Park Baseball 17,sports baseball sim team
Metroid Fusion,action adventure scifi
The Witcher 3: Wild Hunt - Blood and Wine,roleplaying action rpg
Final Fantasy VI Advance,roleplaying consolestyle rpg
Rayman Legends,action platformer platformer 2d 2d
Tiger Woods PGA Tour 2003,sports traditional individual golf sim sim
Madden NFL 2005,sports traditional football sim
Super Street Fighter IV,action fighting fighting 3d 2d 3d
Pac-Man Championship Edition DX,adventure general action general general arcade
Rock Band 2,action miscellaneous rhythm music music
Dark Souls II,action rpg roleplaying action rpg
Dishonored,action adventure modern general modern
ESPN NFL Football,sports traditional football sim
Medal of Honor: Allied Assault,action shooter shooter firstperson historic historic arcade
Myth: The Fallen Lords,strategy realtime fantasy general fantasy
LittleBigPlanet 2,action platformer platformer 3d 2d 3d
Guitar Hero,miscellaneous rhythm music
World of Warcraft: Wrath of the Lich King,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Rock Band 3,action miscellaneous rhythm music music
Metroid Prime Trilogy,action miscellaneous shooter compilation compilation firstperson scifi
Overwatch,general action shooter firstperson tactical
F1 Challenge '99-'02,driving racing formula one formula one
Tony Hawk's Pro Skater 4,sports alternative skateboarding
Madden NFL 2001,sports traditional football sim
Baldur's Gate,roleplaying pcstyle rpg pcstyle rpg westernstyle
Bayonetta 2,action adventure fantasy fantasy linear
The Witcher 3: Wild Hunt,action rpg roleplaying action rpg
Rock Band 3,action miscellaneous rhythm music music
Klonoa 2: Lunatea's Veil,action platformer 3d
IL-2 Sturmovik,simulation flight wwii wwii combat
Mario Tennis,sports traditional tennis
FreeSpace 2,simulation scifi space small spaceship small spaceship combat
Colony Wars,simulation scifi small spaceship
Metal Gear Solid V: The Phantom Pain,action adventure modern openworld
Ratchet & Clank: Up Your Arsenal,action platformer 3d
Resident Evil,action adventure horror
FIFA Soccer 10,sports traditional team soccer sim sim
Assassin's Creed II,action adventure historic historic openworld
Metal Gear Solid 3: Snake Eater,action adventure modern
Twisted Metal: Black,driving car combat
Spyro: Year of the Dragon,action platformer 3d
Tomb Raider,action adventure modern
Overwatch,action shooter firstperson tactical
Resident Evil 4: Wii Edition,action adventure horror horror survival
Shadow of the Colossus,action adventure fantasy
Forza Horizon 3,racing simulation automobile
Peggle,miscellaneous puzzle action puzzle puzzle action
The Legend of Zelda: Ocarina of Time / Master Quest,action adventure fantasy
Borderlands 2,action shooter shooter firstperson scifi scifi arcade
Tom Clancy's Splinter Cell,action adventure modern general modern
Kentucky Route Zero - Act III,adventure general
NCAA Football 2003,sports traditional football sim
Crysis,action shooter shooter firstperson scifi scifi arcade
Ninja Gaiden,action adventure fantasy
God of War: Chains of Olympus,action adventure fantasy fantasy linear
DOA2: Hardcore,action fighting 3d
World of Warcraft: The Burning Crusade,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
MLB 10: The Show,sports traditional team baseball sim sim
Shadow of the Colossus,action adventure general
Yoshi's Island: Super Mario Advance 3,action platformer 2d
The Witcher 3: Wild Hunt - Blood and Wine,roleplaying action rpg
Tiger Woods PGA Tour 2005,sports traditional individual golf sim sim
ESPN NFL Football,sports traditional football sim
NCAA Football 2003,sports traditional football sim
The Longest Journey,adventure thirdperson pointandclick fantasy fantasy
Tony Hawk's Pro Skater 2,sports alternative individual skateboarding skateboarding skate  skateboard
Star Wars Jedi Knight: Dark Forces II,action shooter shooter firstperson scifi arcade
Batman: Arkham Asylum,action adventure fantasy general fantasy
Halo: Reach,action shooter shooter firstperson scifi scifi arcade
Galactic Civilizations II: Dark Avatar,strategy turnbased scifi scifi 4x
Mass Effect,roleplaying action rpg consolestyle rpg japanesestyle westernstyle
The Operative: No One Lives Forever,action shooter shooter firstperson modern modern arcade
Forza Motorsport 4,driving racing simulation gt  street gt  street automobile
Resident Evil,action adventure horror
Battlefield 2,action shooter shooter firstperson tactical modern modern
God of War Collection,miscellaneous action adventure fantasy compilation compilation
Celeste,action platformer 2d
Madden NFL 2005,sports traditional football sim
Tony Hawk's Pro Skater 3,sports alternative skateboarding
Street Fighter IV,action fighting fighting 3d 2d 3d
Fallout 3,roleplaying firstperson firstperson westernstyle
Batman: Arkham City,action adventure fantasy fantasy openworld
Fez,action platformer platformer 2d 2d
Planescape: Torment,roleplaying general pcstyle rpg westernstyle
Sonic Mania Plus,action platformer 2d
Gears of War 3,action shooter shooter thirdperson scifi scifi arcade
Killzone 2,action shooter shooter firstperson scifi scifi arcade
Neverwinter Nights,roleplaying pcstyle rpg pcstyle rpg westernstyle
Batman: Arkham Asylum,action adventure fantasy general fantasy
Castlevania: Aria of Sorrow,action platformer 2d
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,action shooter shooter firstperson modern modern arcade
INSIDE,action platformer 2d
Legacy of Kain: Soul Reaver,action adventure horror
Dragon Age: Origins,roleplaying pcstyle rpg pcstyle rpg westernstyle
Dead Cells,action platformer 2d
Golden Sun,roleplaying consolestyle rpg
Rayman Legends,action platformer platformer 2d 2d
Mark of the Ninja,action platformer platformer 2d 2d
World Soccer Winning Eleven 8 International,sports traditional soccer sim
SteamWorld Heist: Ultimate Edition,strategy turnbased general
The Legend of Zelda: A Link Between Worlds,action rpg roleplaying action adventure general action rpg openworld
Dark Souls II,action rpg roleplaying action rpg
Castlevania: Circle of the Moon,action platformer 2d
Far Cry 3,action shooter shooter firstperson modern modern arcade
Dark Souls II,action rpg roleplaying action rpg
Shovel Knight: Treasure Trove,action platformer 2d
flower,general miscellaneous general
Mario Kart DS,driving racing arcade kart kart automobile
Call of Duty,action shooter shooter firstperson thirdperson historic tactical historic arcade
Madden NFL 2004,sports traditional team football sim sim
Mario Golf,sports traditional golf arcade
Crash Bandicoot 3: Warped,action platformer 3d
Assassin's Creed II,action adventure historic historic openworld
Project Gotham Racing 2,driving racing gt  street
NBA 2K12,sports traditional team basketball sim sim
The Sims 2,simulation miscellaneous virtual life virtual virtual life
World of Warcraft: Cataclysm,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Half-Life 2,action shooter firstperson scifi
NCAA Football 2003,sports traditional football sim
Rayman 2: The Great Escape,action platformer 3d
Bayonetta,action action adventure beatemup fantasy beatemup linear
Diablo III: Ultimate Evil Edition,action rpg roleplaying action rpg
Overwatch,action shooter firstperson tactical
Far Cry 3,action shooter shooter firstperson modern modern arcade
ICO,action adventure fantasy
Tom Clancy's Ghost Recon Advanced Warfighter,action shooter shooter firstperson tactical modern modern
FIFA Soccer 12,sports traditional team soccer sim sim
World of Goo,miscellaneous puzzle action puzzle general puzzle general
Mario & Luigi: Superstar Saga,roleplaying consolestyle rpg
Shovel Knight,action platformer 2d
Tony Hawk's Underground,sports alternative skateboarding
Marvel vs. Capcom 2,action fighting 2d
Ape Escape,action platformer 3d
Syphon Filter,action shooter thirdperson modern
Mario & Luigi: Bowser's Inside Story,roleplaying action rpg consolestyle rpg consolestyle rpg japanesestyle
Trials Evolution,driving racing simulation motorcycle automobile street street
Grand Theft Auto IV: The Lost and Damned,action adventure modern modern openworld
FIFA Soccer 12,sports traditional team soccer sim sim
Spelunky,action platformer platformer 2d 2d
FIFA Soccer 10,sports traditional team soccer sim sim
Ratchet & Clank: Going Commando,action platformer 3d
NBA Street Vol. 2,sports traditional basketball arcade
Tennis 2K2,sports traditional tennis
Black & White,strategy realtime fantasy general fantasy
Fallout 3,roleplaying firstperson firstperson westernstyle
The Legend of Zelda: The Wind Waker HD,action adventure fantasy fantasy openworld
ESPN NFL 2K5,sports traditional football sim
Portal,action shooter shooter firstperson scifi scifi arcade
The Legend of Zelda: Phantom Hourglass,action adventure fantasy fantasy openworld
MVP Baseball 2004,sports traditional baseball sim
Tony Hawk's Pro Skater 3,sports alternative skateboarding
Dance Dance Revolution,miscellaneous rhythm dancing
NHL 2001,sports traditional team ice hockey sim sim
Advance Wars: Dual Strike,strategy turnbased modern modern tactics
Rayman Legends,platformer 2d action platformer 2d
MLB 11: The Show,sports traditional team baseball sim sim
NieR: Automata - Become as Gods Edition,roleplaying action rpg
Jak and Daxter: The Precursor Legacy,action platformer 3d
Star Wars Rogue Leader: Rogue Squadron II,simulation scifi small spaceship
Monster Hunter: World,roleplaying action rpg
Stephen's Sausage Roll,puzzle action general
Velocity 2X,shooter scrolling action general shooter scrolling shootemup vertical
Burnout Revenge,driving racing arcade
Tony Hawk's Pro Skater 3,sports alternative individual skateboarding skateboarding skate  skateboard
NBA 2K2,sports traditional basketball sim
NCAA Football 2002,sports traditional football sim
Unreal Tournament,action shooter firstperson scifi
Deus Ex,action adventure scifi scifi general
Donkey Kong 64,action platformer 3d
Panzer Dragoon Orta,action shooter rail
Dead Cells,action platformer 2d
Portal: Still Alive,action shooter shooter firstperson scifi scifi arcade
Half-Life 2: Episode Two,action shooter shooter firstperson scifi scifi arcade
Fez,action platformer platformer 2d 2d
Braid,action platformer platformer 2d 2d
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,action shooter shooter firstperson scifi scifi arcade
Shin Megami Tensei: Persona 4,roleplaying consolestyle rpg
MLB 09: The Show,sports traditional team baseball sim sim
Blast Corps,action general
Shovel Knight,platformer 2d action platformer 2d
MVP Baseball 2004,sports traditional baseball sim
Tony Hawk's Pro Skater 4,sports alternative skateboarding
Sid Meier's Civilization III,strategy turnbased historic historic 4x
NFL 2K2,sports traditional football sim
WWF SmackDown! 2: Know Your Role,action fighting wrestling
LIMBO,action platformer platformer 2d 2d
Mark of the Ninja,adventure text action platformer platformer 2d 2d
Silent Hunter III,simulation submarine submarine marine combat
Bayonetta,action adventure linear
Assassin's Creed: Brotherhood,action adventure historic historic openworld
Okami,action adventure fantasy general fantasy
Super Meat Boy,action platformer platformer 2d 2d
Grand Theft Auto: Chinatown Wars,action adventure modern modern openworld
Dead Space 2,action shooter shooter thirdperson scifi scifi arcade
Pikmin 2,strategy realtime fantasy
Okami HD,fantasy fantasy action adventure general
NBA 2K17,sports team basketball sim
Madden NFL 2002,sports traditional football sim
Grandia II,roleplaying consolestyle rpg
Geometry Wars: Retro Evolved 2,action shooter shooter static static shootemup topdown
Sid Meier's Civilization V,strategy turnbased historic historic 4x
Super Mario 3D Land,action platformer platformer 3d 3d
Mario Kart 8 DLC Pack 2,driving kart racing arcade automobile
Falcon 4.0: Allied Force,simulation flight modern jet modern jet combat
Deus Ex: Human Revolution,action action adventure shooter scifi scifi general firstperson scifi
XCOM: Enemy Unknown,strategy turnbased general scifi scifi general
Metroid Prime 3: Corruption,action shooter shooter firstperson scifi scifi arcade
Monster Hunter: World,roleplaying action rpg
Flight Simulator 2002,simulation flight civilian plane civilian
Banjo-Tooie,action platformer 3d
Brothers: A Tale of Two Sons,action adventure fantasy fantasy linear
Dota 2,general fantasy moba strategy realtime moba
World Soccer Winning Eleven 8 International,sports traditional soccer sim
Hollow Knight,action adventure general
TimeSplitters 2,action shooter firstperson scifi
Guild Wars 2,general roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Forza Motorsport 2,driving racing simulation gt  street gt  street automobile
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,adventure general
Pushmo,miscellaneous puzzle action puzzle action
The Witcher 3: Wild Hunt - Hearts of Stone,roleplaying action rpg
Metal Gear Solid HD Collection,miscellaneous compilation compilation
Viewtiful Joe,action beatemup
Madden NFL 2005,sports traditional football sim
Tiger Woods PGA Tour 2003,sports traditional golf sim
Freedom Force,roleplaying action rpg action rpg
NBA 2K2,sports traditional basketball sim
Colin McRae Rally 2.0,driving racing rally  offroad
FIFA Soccer 13,sports traditional team soccer sim sim
LIMBO,action platformer platformer 2d 2d
GTR 2,driving racing simulation gt  street gt  street automobile
NBA 2K13,sports traditional team basketball sim sim
Grand Theft Auto IV,action adventure modern modern openworld
Total War: Shogun 2,strategy turnbased historic general historic
Empire: Total War,strategy realtime historic general historic
Rayman Legends,action platformer platformer 2d 2d
Bayonetta + Bayonetta 2,miscellaneous compilation
Kentucky Route Zero - Act IV,adventure general
Guacamelee! Super Turbo Championship Edition,action platformer 2d
NBA 2K12,sports traditional team basketball sim sim
ESPN NHL Hockey,sports traditional ice hockey sim
Rayman 2 Revolution,action platformer 3d
Madden NFL 2001,sports traditional football sim
Final Fantasy VIII,roleplaying consolestyle rpg
Beetle Adventure Racing,driving racing arcade
Command & Conquer: Red Alert,strategy realtime scifi scifi command
The Witcher 3: Wild Hunt - Hearts of Stone,roleplaying action rpg
Star Wars Jedi Knight II: Jedi Outcast,action shooter shooter firstperson scifi scifi arcade
Wipeout HD Fury,driving racing arcade futuristic futuristic
Halo 2 Multiplayer Map Pack,action shooter firstperson scifi
Borderlands 2,action shooter shooter firstperson scifi scifi arcade
Shin Megami Tensei: Persona 3 Portable,roleplaying consolestyle rpg consolestyle rpg japanesestyle
XCOM: Enemy Unknown,strategy turnbased general scifi scifi general
Call of Duty 2,action shooter shooter firstperson historic historic arcade
Burnout Revenge,driving racing arcade
Dragon Quest VIII: Journey of the Cursed King,roleplaying consolestyle rpg
Metroid: Zero Mission,action platformer 2d
The Legend of Zelda: Majora's Mask 3D,fantasy action adventure openworld
Skylanders Swap Force,action platformer platformer 3d 3d
The Walking Dead: A Telltale Games Series,compilation miscellaneous adventure compilation pointandclick
Tiger Woods PGA Tour 2004,sports traditional golf sim
Age of Mythology,strategy realtime fantasy general fantasy
Pikmin,strategy realtime fantasy
Madden NFL 2002,sports traditional football sim
Sacrifice,strategy realtime fantasy general fantasy
Samba de Amigo,miscellaneous rhythm music
Wipeout 3,driving racing futuristic
Plants vs. Zombies,strategy realtime general general fantasy defense
Dark Souls III,roleplaying action rpg
Dead Cells,action platformer 2d
Rez HD,action shooter shooter rail rail
NBA Street V3,sports traditional basketball arcade
Demon's Souls,roleplaying action rpg action rpg
Pillars of Eternity,pcstyle rpg thirdperson pcstyle rpg roleplaying westernstyle
The Elder Scrolls III: Morrowind,roleplaying firstperson firstperson westernstyle
Castlevania: Symphony of the Night,action roleplaying platformer platformer action rpg 2d 2d
Fable II,roleplaying action rpg action rpg
Rez Infinite,action shooter rail
Rocksmith 2014 Edition,action miscellaneous rhythm music music
NHL 2K3,sports traditional ice hockey sim
Final Fantasy Chronicles,roleplaying consolestyle rpg
Fallout,roleplaying firstperson firstperson pcstyle rpg pcstyle rpg westernstyle
The Beatles: Rock Band,action miscellaneous rhythm music music
Into the Breach,strategy turnbased general tactics
Assassin's Creed: Brotherhood,action adventure historic historic openworld
Left 4 Dead 2,action shooter shooter firstperson scifi scifi tactical
World Soccer Winning Eleven 9,sports traditional team soccer sim sim
Worldwide Soccer Manager 2005,sports traditional team soccer management management
Axiom Verge,action adventure general
Left 4 Dead,action shooter shooter firstperson scifi scifi arcade
Left 4 Dead,action shooter shooter firstperson scifi scifi arcade
Left 4 Dead 2,action shooter shooter firstperson scifi scifi tactical
Titanfall 2,action shooter firstperson arcade
F1 2017,racing simulation automobile
Dark Souls III,roleplaying action rpg
3D Gunstar Heroes,action shooter shootemup horizontal
Jade Empire,roleplaying action rpg
Tony Hawk's Underground,sports alternative skateboarding
NHL 2K3,sports traditional ice hockey sim
NBA 2K3,sports traditional basketball sim
NASCAR Racing 2002 Season,driving racing simulation stock car stock car automobile
Phantasy Star Online,roleplaying general
Resident Evil 2,action adventure horror
Tekken 2,action fighting 3d
Need for Speed: Hot Pursuit,driving racing arcade arcade automobile
F-Zero GX,driving racing futuristic
Mass Effect,roleplaying action rpg consolestyle rpg japanesestyle westernstyle
Dark Souls,roleplaying action rpg action rpg
NBA Street V3,sports traditional basketball arcade
Need for Speed: Hot Pursuit 2,driving racing arcade
Grand Theft Auto IV: The Ballad of Gay Tony,action adventure modern modern openworld
Okami HD,action adventure general
The Legend of Zelda: The Minish Cap,action adventure fantasy
NCAA Football 2005,sports traditional football sim
NCAA Football 2004,sports traditional football sim
Combat Mission: Barbarossa to Berlin,strategy realtime wargame realtime general
NHL 2002,sports traditional ice hockey sim
