title,genre
The Secret of Monkey Island: Special Edition,adventure general general pointandclick
Max Payne 2: The Fall of Max Payne,action shooter shooter thirdperson modern modern arcade
Homeworld Remastered Collection,miscellaneous compilation
Galactic Civilizations II: Dread Lords,strategy turnbased scifi scifi 4x
Planet Puzzle League,miscellaneous puzzle puzzle general puzzle general
Wolfenstein II: The New Colossus,action shooter firstperson arcade
Animal Crossing: Wild World,simulation miscellaneous virtual life virtual virtual life
Tomb Raider,action adventure modern general modern linear
DmC: Devil May Cry,action general action adventure fantasy general fantasy linear
Medal of Honor Underground,action shooter firstperson historic
Dino Crisis 2,action adventure scifi
Star Trek: Voyager Elite Force,action shooter shooter firstperson scifi scifi arcade
Need for Speed: High Stakes,driving racing arcade
Dragon Ball FighterZ,action fighting 2d
Street Fighter III: Third Strike Online Edition,action fighting fighting 2d 2d
Professor Layton and the Unwound Future,miscellaneous puzzle puzzle general puzzle general
Assassin's Creed IV: Black Flag,action adventure historic historic openworld
We Love Katamari,action general
Worldwide Soccer Manager 2008,sports traditional team soccer management management
Dance Central 2,action miscellaneous rhythm dancing dancing
Sly Cooper and the Thievius Raccoonus,action platformer 3d
IL-2 Sturmovik: Forgotten Battles,simulation flight wwii wwii combat
Geometry Wars: Retro Evolved,action shooter shooter static static shootemup topdown
Fight Night Round 3,sports traditional individual boxing boxing combat boxing  martial arts
F1 2016,racing simulation automobile
Amplitude,miscellaneous rhythm music
Bastion,roleplaying action rpg action rpg
DiRT 3,driving racing simulation rally  offroad rally  offroad automobile
Minecraft: PlayStation 3 Edition,fantasy action adventure adventure 3d sandbox firstperson fantasy
Sonic Mania,action platformer 2d
The Legend of Zelda: Four Swords Adventures,action adventure fantasy
Joe Danger,driving racing arcade arcade automobile
Tales of Symphonia,roleplaying consolestyle rpg
Fight Night Champion,sports traditional individual boxing boxing combat boxing  martial arts
NBA Live 2004,sports traditional basketball sim
Colin McRae Rally 3,driving racing rally  offroad
Tom Clancy's Rainbow Six 3,action shooter firstperson tactical modern
Colin McRae Rally 3,driving racing rally  offroad
Burnout 2: Point of Impact,driving racing arcade
Unreal Tournament 2003,action shooter shooter firstperson scifi scifi arcade
Age of Wonders II: The Wizard's Throne,strategy turnbased fantasy general fantasy
Daytona USA,driving racing arcade
Links 2001,sports traditional individual golf sim sim
EverQuest: The Ruins of Kunark,roleplaying massively multiplayer online massively multiplayer fantasy
Full Throttle,adventure general
Katamari Damacy,action general
The Lord of the Rings Online: Shadows of Angmar,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Grand Theft Auto: Vice City Stories,action adventure modern modern openworld
Pony Island,puzzle general
Tomb Raider: Definitive Edition,modern action adventure general modern linear
"Warhammer 40,000: Dawn of War",strategy realtime scifi scifi general
Diablo III,roleplaying action rpg action rpg
Tom Clancy's Ghost Recon Advanced Warfighter 2,action shooter shooter firstperson tactical modern modern
Tales From Space: Mutant Blobs Attack,action platformer platformer 2d 2d
Max Payne 3,action shooter shooter thirdperson modern modern arcade
Skate,sports alternative individual skateboarding skateboarding skate  skateboard
Warhammer Online: Age of Reckoning,roleplaying massively multiplayer online massively multiplayer fantasy
Resident Evil 7: biohazard,action adventure survival
NHL 12,sports traditional team ice hockey sim sim
Rise of the Tomb Raider,fantasy action adventure general linear
Dead Space,action shooter shooter thirdperson scifi scifi arcade
PlayerUnknown's Battlegrounds,action shooter firstperson tactical
Advance Wars: Days of Ruin,strategy turnbased modern modern tactics
The Elder Scrolls IV - Knights of the Nine,roleplaying firstperson firstperson westernstyle
Rocksmith 2014 Edition,action miscellaneous rhythm music music
Bionic Commando Rearmed,action platformer platformer 2d 2d
DJ Hero,action miscellaneous rhythm music music
Forza Horizon 2,driving racing simulation gt  street automobile
FIFA 14,ice hockey sim sports traditional team soccer sim sim
Observer,adventure 3d firstperson
ZEN Pinball 2,action miscellaneous parlor pinball pinball
Moto Racer Advance,driving racing motorcycle street
Command & Conquer: Red Alert 2 - Yuri's Revenge,strategy realtime scifi scifi command
Europa Universalis,strategy general general
Escape from Monkey Island,adventure 3d fantasy thirdperson fantasy
SteamWorld Heist,scifi strategy turnbased general
Robo Recall,action general
IL-2 Sturmovik: 1946,simulation flight wwii wwii combat
XCOM: Enemy Within,scifi strategy turnbased scifi general
Final Fantasy XIV: Heavensward,massively multiplayer online fantasy roleplaying massively multiplayer
Bayonetta,action action adventure fantasy beatemup linear
Dance Central 3,dancing action miscellaneous rhythm dancing
Shatter,action general general
Final Fantasy XIV Online: A Realm Reborn,fantasy roleplaying massively multiplayer online massively multiplayer fantasy
Titanfall 2,action shooter firstperson arcade
Luigi's Mansion: Dark Moon,action adventure fantasy general fantasy
DJ Hero 2,action miscellaneous rhythm music music
Guitar Hero III: Legends of Rock,action miscellaneous rhythm music music
Psychonauts,action platformer 3d
Guitar Hero 5,action miscellaneous rhythm music music
Battlefield 3: Back to Karkand,action shooter shooter firstperson modern tactical modern arcade
F-Zero: Maximum Velocity,driving racing futuristic
West of Loathing,roleplaying general
Dying Light: The Following,action adventure survival
Destiny: The Taken King,action shooter firstperson arcade
Heroes of the Storm,action strategy realtime general moba
DiRT 4,racing simulation automobile
Code:Realize - Guardian of Rebirth,adventure visual novel
Tom Clancy's Rainbow Six Vegas,action shooter shooter firstperson tactical modern modern
Civilization III: Conquests,strategy turnbased historic historic 4x
Turok 2: Seeds of Evil,action shooter firstperson scifi
Path of Exile,action rpg roleplaying action rpg
Battlefield: Bad Company 2 Vietnam,action shooter shooter firstperson modern modern arcade
Guilty Gear Xrd: Rev 2,action fighting 2d
OlliOlli2: Welcome to Olliwood,sports alternative individual skateboarding skate  skateboard
Assassin's Creed II,action adventure historic historic openworld
Forza Motorsport 7,racing simulation automobile
Lovers in a Dangerous Spacetime,action shooter shootemup horizontal
NHL 08,sports traditional team ice hockey sim sim
Mortal Kombat X,action fighting 2d 3d
Gunman Clive HD Collection,miscellaneous compilation
Persona 4 Arena,action fighting fighting 2d 2d
Viewtiful Joe 2,action beatemup
Day of the Tentacle Remastered,adventure pointandclick
The Elder Scrolls IV: Shivering Isles,roleplaying firstperson firstperson westernstyle
Madden NFL 06,sports traditional football sim
Xenoblade Chronicles 3D,roleplaying action rpg
Fire Emblem Fates: Birthright,strategy turnbased tactics
DiRT Rally,racing simulation automobile
Sonic Mania,action platformer 2d
Rocket League,sports racing team soccer futuristic arcade
The Legend of Zelda: Twilight Princess HD,action adventure general openworld
Dark Souls Remastered,roleplaying action rpg
Injustice 2,action fighting 2d
The Legend of Heroes: Trails of Cold Steel,roleplaying japanesestyle
Resogun: Heroes,action shooter scrolling shootemup horizontal
Tetris Party,miscellaneous puzzle puzzle puzzle stacking stacking
ESPN College Hoops 2K5,sports traditional basketball sim
Allegiance,simulation scifi space small spaceship small spaceship combat
Monster Hunter Generations,roleplaying action rpg
Radiant Historia,roleplaying general general japanesestyle
Shantae: Risky's Revenge,action platformer platformer 2d 2d
Castlevania: Portrait of Ruin,action roleplaying platformer platformer action rpg 2d 2d
Night in the Woods,action adventure adventure general
Tom Clancy's Splinter Cell: Conviction,action adventure modern general modern
Aggressive Inline,sports alternative skating
The Talos Principle,scifi adventure 3d firstperson
Cities: Skylines,city building modern strategy management government
DiRT Rally,racing simulation automobile
Project Gotham Racing 4,driving racing simulation gt  street gt  street automobile
Metroid Prime: Hunters,action shooter shooter firstperson scifi scifi arcade
Thumper,action rhythm music
Crypt of the NecroDancer,roleplaying action rpg
Metroid: Samus Returns,action adventure openworld
OlliOlli2: Welcome to Olliwood,sports alternative individual skateboarding skate  skateboard
Dragon Quest VIII: Journey of the Cursed King,roleplaying japanesestyle
Midnight Club 3: DUB Edition Remix,driving racing gt  street
NHL 08,sports traditional team ice hockey sim sim
Ni no Kuni: Wrath of the White Witch,general roleplaying consolestyle rpg consolestyle rpg japanesestyle
The Wolf Among Us: Episode 1 - Faith,action adventure adventure fantasy general fantasy pointandclick
UFC Undisputed 2010,action sports fighting fighting individual wrestling combat wrestling
Bad Request,no genre
Plants vs. Zombies,strategy realtime general general fantasy defense
NBA Live 2004,sports traditional basketball sim
NHL 2004,sports traditional ice hockey sim
Hitman 2: Silent Assassin,action adventure modern
Falcon 4.0,simulation flight modern jet modern jet combat
Tom Clancy's Rainbow Six,action shooter shooter firstperson tactical modern modern
Oddworld: Abe's Oddysee,action platformer 2d
Madden NFL 2005,sports traditional team football sim sim
Legend of Grimrock II,roleplaying firstperson westernstyle
Madden NFL 09,sports traditional team football sim sim
Guitar Hero III: Legends of Rock,action miscellaneous rhythm music music
The Sly Collection,action adventure modern miscellaneous compilation compilation
Tatsunoko vs. Capcom: Ultimate All-Stars,action fighting fighting 2d 2d
"Sam & Max Episode 205: What's New, Beelzebub?",adventure general 3d pointandclick thirdperson
Daxter,action platformer platformer 3d 3d
Dragon Age: Inquisition,pcstyle rpg roleplaying general action rpg westernstyle
Tales from the Borderlands: A Telltale Game Series,adventure general
Hearthstone: Whispers of the Old Gods,strategy turnbased card battle
MLB 08: The Show,sports traditional team baseball sim sim
Unreal Championship 2: The Liandri Conflict,action shooter firstperson scifi
Yakuza 0,action adventure openworld
Firewatch,adventure 3d firstperson
Battlefield 4,action shooter shooter firstperson modern modern arcade
Tom Clancy's Rainbow Six: Vegas,action shooter shooter firstperson tactical modern modern
Super Street Fighter IV: 3D Edition,action fighting fighting 3d 2d 3d
City of Heroes,roleplaying massively multiplayer online massively multiplayer modern modern
Mass Effect 3: Special Edition,action rpg roleplaying action rpg
Castle Crashers,action beatemup beatemup 2d
Pokemon Pearl Version,roleplaying consolestyle rpg consolestyle rpg trainer
Lara Croft and the Guardian of Light,action action adventure adventure shooter general general thirdperson modern
BlazBlue: Chrono Phantasma Extend,action fighting 2d
SWAT 4,action shooter shooter firstperson modern arcade
Midnight Club II,driving racing gt  street
Aggressive Inline,sports alternative skating
Clive Barker's Undying,action shooter shooter firstperson fantasy fantasy arcade
Rollcage Stage II,driving racing futuristic
EverQuest,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
F-Zero X,driving racing futuristic
Trials Evolution: Origin of Pain,street driving racing simulation motorcycle automobile street
Tom Clancy's Splinter Cell Double Agent,action adventure modern general modern
Pillars of Eternity: Complete Edition,roleplaying westernstyle
Bravely Default,consolestyle rpg roleplaying consolestyle rpg japanesestyle
DOOM,scifi thirdperson action shooter firstperson arcade
Far Cry Instincts,action shooter firstperson modern
"Warhammer 40,000: Dawn of War II",strategy realtime scifi scifi general
Dark Souls Remastered,roleplaying action rpg
Paradigm,adventure pointandclick
NBA 2K14,sports traditional team basketball sim sim
Battlefield 3,action shooter shooter firstperson modern tactical modern arcade
Tekken Tag Tournament,action fighting 3d
Onimusha 3: Demon Siege,action adventure fantasy
Red Faction: Guerrilla,action shooter shooter thirdperson scifi scifi arcade
Final Fantasy X-2,roleplaying consolestyle rpg
Guacamelee! 2,action platformer 2d
Battlerite,strategy realtime moba
Command & Conquer 3: Tiberium Wars,strategy realtime scifi scifi general
Madden NFL 10,sports traditional team football sim sim
Batman: Arkham Knight,general fantasy action adventure openworld
Assassin's Creed III,action adventure historic historic openworld
Astro Boy: Omega Factor,action shooter scrolling
BlazBlue: Continuum Shift,action fighting fighting 2d 2d
Life is Strange,scifi action adventure general
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,action miscellaneous rhythm music music
Hotline Miami,action action adventure general general linear
Guitar Hero World Tour,action miscellaneous rhythm music music
Nioh: Bloodshed's End,roleplaying action rpg
Out of the Park Baseball 13,sports traditional team baseball sim sim
NHL 2004,sports traditional ice hockey sim
World Series Baseball,sports traditional baseball sim
Wizardry 8,roleplaying firstperson firstperson general westernstyle
Aliens Versus Predator 2,action shooter shooter firstperson scifi scifi arcade
Operation Flashpoint: Cold War Crisis,action shooter shooter firstperson tactical modern modern
Rumble Racing,driving racing arcade
Metal Slug X,action shooter scrolling
Tropico,strategy miscellaneous realtime management compilation modern modern government
Giants: Citizen Kabuto,action shooter shooter thirdperson scifi scifi arcade
MotoGP 3: Ultimate Racing Technology,driving racing motorcycle street
Rocket League,racing futuristic sports team soccer arcade
Dead or Alive 4,action fighting fighting 3d 3d
NASCAR SimRacing,driving racing simulation stock car stock car automobile
Pure,driving racing arcade arcade automobile
LocoRoco 2,action platformer platformer 2d 2d
Crysis 2,action shooter shooter firstperson scifi scifi arcade
The Lord of the Rings Online: Mines of Moria,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
SoulCalibur IV,action fighting fighting 3d 3d
Kingdom Hearts,roleplaying action rpg
The Binding of Isaac: Afterbirth,action shooter shootemup topdown
Hotline Miami,action action adventure general general linear
Amnesia: The Dark Descent,action adventure horror horror survival
SoulCalibur IV,action fighting fighting 3d 3d
Project Gotham Racing,driving racing gt  street
Fable,roleplaying action rpg
Forza Horizon,driving racing simulation gt  street gt  street automobile
Chaos Reborn,fantasy strategy turnbased general
Assassin's Creed Origins,action adventure openworld
GTR: FIA GT Racing Game,driving racing simulation gt  street automobile
Final Fantasy IX,roleplaying japanesestyle
Shadow Hearts: Covenant,roleplaying consolestyle rpg
Rogue Legacy,action platformer platformer 2d 2d
Madden NFL 10,sports traditional team football sim sim
Syphon Filter: Logan's Shadow,action shooter shooter thirdperson modern modern arcade
Football Manager 2011,sports traditional team soccer management management
Dust: An Elysian Tail,roleplaying action rpg action rpg
NBA Live 2005,sports traditional basketball sim
NHL 2004,sports traditional ice hockey sim
NFL 2K2,sports traditional football sim
South Park: The Stick of Truth,roleplaying general general
Yakuza Kiwami 2,action adventure openworld
Final Fantasy XII: The Zodiac Age,roleplaying japanesestyle
Monkey Island 2 Special Edition: LeChuck's Revenge,adventure general general pointandclick
Assassin's Creed III,action adventure historic historic openworld
Fire Emblem: The Sacred Stones,strategy turnbased fantasy
Dragon Age: Inquisition,general roleplaying general action rpg westernstyle
Dark Souls: Prepare to Die Edition,roleplaying action rpg action rpg
The Binding of Isaac: Afterbirth +,action shooter shootemup topdown
NBA 2K13,sports traditional team basketball sim sim
Shadow Tactics: Blades of the Shogun,strategy realtime tactics
Super Smash Bros. for Nintendo 3DS,fighting 3d 2d action fighting 2d 3d
Medieval II: Total War Kingdoms,strategy realtime historic general
Call of Duty: World at War,action shooter shooter firstperson historic historic arcade
West of Loathing,roleplaying general
DJMax Respect,action rhythm music
SUPERHOT VR,action shooter firstperson tactical
Pro Evolution Soccer 2017,sports team soccer sim
Resogun: Defenders,action shooter shootemup horizontal
Shovel Knight,platformer 2d action platformer 2d
Final Fantasy X / X-2 HD Remaster,roleplaying miscellaneous consolestyle rpg compilation compilation
DmC: Devil May Cry,action general action adventure fantasy general fantasy linear
The Legend of Zelda: Four Swords Anniversary Edition,action adventure fantasy general fantasy
Maboshi's Arcade,miscellaneous puzzle action puzzle puzzle action
Peggle Deluxe,miscellaneous puzzle action puzzle puzzle action
Viewtiful Joe 2,action beatemup
Tony Hawk's Underground,sports alternative skateboarding
WWE SmackDown! Here Comes the Pain,action fighting wrestling
Tony Hawk's Pro Skater 4,sports alternative skateboarding
Hot Shots Golf 3,sports traditional golf arcade
Monopoly Tycoon,strategy tycoon management tycoon business  tycoon
FIFA 2001 Major League Soccer,sports traditional soccer sim
Indigo Prophecy,adventure 3d modern thirdperson modern
Prince of Persia: The Two Thrones,action adventure fantasy fantasy linear
Sam & Max Episode 204: Chariots of the Dogs,adventure general 3d pointandclick thirdperson
Marvel vs. Capcom 3: Fate of Two Worlds,action fighting fighting 2d 2d
Assetto Corsa,driving general gt  street racing simulation automobile
Ys VIII: Lacrimosa of DANA,roleplaying action rpg
Machinarium,adventure general thirdperson general pointandclick scifi
Frozen Synapse,strategy turnbased general modern tactics
Champions of Norrath,roleplaying action rpg
F1 2016,racing simulation automobile
Valkyria Chronicles,general historic strategy turnbased tactics
Freelancer,simulation scifi space small spaceship small spaceship combat
Guitar Hero 5,action miscellaneous rhythm music music
Zenzizenzic,action general
NBA Jam: On Fire Edition,sports traditional team basketball arcade arcade
Galactic Civilizations III: Crusade,strategy turnbased 4x
The Wolf Among Us: Episode 1 - Faith,action adventure adventure fantasy general fantasy pointandclick
Final Fantasy IV Advance,roleplaying consolestyle rpg
Final Fantasy XV: Windows Edition,roleplaying action rpg
SteamWorld Dig 2,action action adventure general platformer 2d
Super Stardust HD,action general shooter shooter static static shootemup topdown
Sine Mora,action shooter shooter scrolling scrolling shootemup vertical horizontal
Super Paper Mario,action platformer platformer 3d 3d
Mega Man Legacy Collection,miscellaneous compilation
Star Wars: Rogue Squadron,simulation scifi small spaceship
"Warhammer 40,000: Dawn of War II - Chaos Rising",strategy realtime fantasy general fantasy
Far Cry 2,action shooter shooter firstperson modern modern arcade
Professor Layton and the Curious Village,miscellaneous adventure puzzle edutainment general puzzle general
The Walking Dead: Episode 3 - Long Road Ahead,miscellaneous adventure general compilation pointandclick
AudioSurf,action miscellaneous rhythm music music
Thumper,action rhythm music
Yakuza 0,action adventure openworld
Super Mario 64 DS,action platformer platformer 3d 3d
Dead Rising,action adventure horror horror openworld
MLB The Show 17,sports team baseball sim
BattleBlock Theater,action platformer 2d
Dragon Ball FighterZ,action fighting 2d
Star Wars: Knights of the Old Republic II - The Sith Lords,roleplaying thirdperson thirdperson general
Destiny 2,action shooter firstperson arcade
Mario Kart 7,driving racing arcade kart kart automobile
Prince of Persia: The Two Thrones,action adventure fantasy
Halo: The Master Chief Collection,miscellaneous compilation action shooter firstperson scifi arcade
Batman: The Enemy Within - Episode 5: Same Stitch,adventure pointandclick
NCAA Football 11,sports traditional team football sim sim
MVP Baseball 2005,sports traditional team baseball sim sim
Phantasy Star Online Episode I & II,roleplaying massively multiplayer online scifi
Assault Android Cactus,general scrolling action shooter shootemup topdown
Persona 4 Arena Ultimax,action fighting 2d
Darksiders II,modern action adventure fantasy fantasy openworld
Guitar Hero: Metallica,action miscellaneous rhythm music music
Fire Emblem: Path of Radiance,strategy turnbased fantasy
Final Fantasy XI,roleplaying massively multiplayer online fantasy
Full Metal Furies,action beatemup 2d
Super Mega Baseball,traditional sports team baseball arcade
NASCAR Thunder 2004,driving racing stock car
DDRMAX: Dance Dance Revolution,miscellaneous rhythm dancing
NASCAR Thunder 2002,driving racing stock car
NHL 2001,sports traditional ice hockey sim
F355 Challenge,driving racing gt  street
The Elder Scrolls III: Bloodmoon,roleplaying firstperson firstperson westernstyle
Boom Blox,miscellaneous puzzle puzzle general puzzle general
Madden NFL 08,sports traditional team football sim sim
Pro Evolution Soccer 2016,sports team soccer sim
Far Cry 2,action shooter shooter firstperson modern modern arcade
Rogue Legacy,roleplaying general action platformer platformer 2d 2d
BattleBlock Theater,action platformer platformer 2d 2d
Shantae: Half-Genie Hero - Ultimate Edition,action platformer 2d
Castlevania: Lords of Shadow,action adventure fantasy general fantasy
Pokemon Diamond Version,roleplaying consolestyle rpg consolestyle rpg trainer
Virtua Fighter 5,action fighting fighting 3d 3d
Ikaruga,action shooter scrolling
Thief: Deadly Shadows,action adventure fantasy general fantasy
Borderlands: The Secret Armory of General Knoxx,action shooter shooter firstperson scifi scifi arcade
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,miscellaneous adventure general 3d compilation thirdperson
UFC Undisputed 3,action sports fighting fighting individual wrestling combat wrestling
South Park: The Stick of Truth,general roleplaying general
The Wolf Among Us: Episode 5 - Cry Wolf,action adventure adventure general fantasy pointandclick
Rogue Legacy,action platformer platformer 2d 2d
Brothers: A Tale of Two Sons,action adventure fantasy fantasy linear
Football Manager 2014,sports traditional team soccer management management
System Shock: Enhanced Edition,action adventure general
Metal Gear Solid: The Twin Snakes,action adventure modern
EverQuest: Gates of Discord,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
The Lord of the Rings: The Return of the King,action beatemup
The Sims,miscellaneous virtual life
NASCAR Thunder 2003,driving racing stock car
FIFA 2001 Major League Soccer,sports traditional team soccer sim sim
Fight Night 2004,sports traditional boxing
Wipeout: Omega Collection,racing arcade futuristic
Mortal Kombat XL,action fighting 2d
Lego Star Wars II: The Original Trilogy,action adventure scifi
Sid Meier's Civilization V: Brave New World,strategy turnbased historic historic 4x
The Warriors,action beatemup
Red Faction: Guerrilla,action shooter shooter thirdperson scifi scifi arcade
Geometry Wars 3: Dimensions,action shooter static shootemup topdown
Ratchet & Clank,action platformer 3d
MLB The Show 16,sports team baseball arcade sim
Final Fantasy IV,roleplaying consolestyle rpg consolestyle rpg japanesestyle
Marvel vs. Capcom 2,action fighting fighting 2d 2d
Darkest Dungeon,roleplaying general
Mutant Mudds Collection,action miscellaneous platformer compilation 2d
NeuroVoider,action shooter shootemup topdown
Mortal Kombat,action fighting fighting 3d 2d
The Last Door: Season 2,adventure pointandclick
F.E.A.R.,action shooter shooter firstperson modern modern arcade
Brothers in Arms: Earned in Blood,action shooter firstperson historic
Far Cry 4,action shooter firstperson modern arcade
Tetris,miscellaneous puzzle puzzle puzzle stacking general
Final Fantasy XI,roleplaying massively multiplayer online massively multiplayer fantasy fantasy
Trine 2,action platformer platformer 2d 2d
Need for Speed Underground,driving racing gt  street
Serious Sam: The Second Encounter,action shooter shooter firstperson scifi arcade
The Sims: Hot Date,simulation miscellaneous virtual life virtual virtual life
American McGee's Alice,action adventure horror horror survival
Turok: Dinosaur Hunter,action shooter firstperson scifi
Castlevania: Order of Ecclesia,action roleplaying platformer platformer action rpg 2d 2d
Batman: Arkham City - Armored Edition,action adventure fantasy fantasy openworld
Borderlands: The Secret Armory of General Knoxx,action shooter shooter firstperson scifi scifi arcade
Chime Sharp,puzzle general
Shantae and the Pirate's Curse,action platformer 2d
Trials Evolution: Gold Edition,driving racing arcade motorcycle other motocross motocross
Prince of Persia,action adventure fantasy general fantasy
Moss,action adventure general
Bionic Commando Rearmed,action platformer platformer 2d 2d
Sid Meier's Civilization Revolution,strategy turnbased historic general historic
ESPN NBA 2K5,sports traditional basketball sim
"Warhammer 40,000: Dawn of War - Winter Assault",strategy realtime scifi scifi general
Silent Hill 3,action adventure horror
Terraria,action action adventure platformer platformer sandbox 2d 2d
Tomb Raider: Definitive Edition,modern action adventure general modern linear
Starcraft Remastered,strategy realtime command
DmC: Devil May Cry,action general action adventure fantasy general fantasy linear
NBA 2K18,sports team basketball sim
Shadow Tactics: Blades of the Shogun,strategy realtime tactics
Planescape: Torment - Enhanced Edition,roleplaying westernstyle
Super Meat Boy,action platformer 2d
Pyre,roleplaying general
Tony Hawk's Underground 2,sports alternative individual skateboarding skateboarding skate  skateboard
FIFA 17,sports team soccer sim
Trine 2,action platformer platformer 2d 2d
inFamous,action adventure modern scifi scifi openworld
"Papers, Please",adventure general general
DOOM,scifi action shooter firstperson thirdperson arcade
DiRT 4,racing simulation automobile
Space Invaders Extreme,action shooter shooter static static shootemup vertical
Tiger Woods PGA Tour 12: The Masters,sports traditional individual golf sim sim
Radiant Historia: Perfect Chronology,roleplaying japanesestyle
Star Wars: The Old Republic,scifi roleplaying massively multiplayer online massively multiplayer scifi
Skate,sports alternative individual skateboarding skateboarding skate  skateboard
Mario + Rabbids: Kingdom Battle,action general strategy turnbased tactics
Far Cry 2,action shooter shooter firstperson modern modern arcade
Flat Heroes,action platformer 2d
Gone Home: Console Edition,adventure 3d firstperson
Ratchet & Clank: Size Matters,action shooter platformer shooter thirdperson 3d scifi scifi arcade
FIFA 07 Soccer,sports traditional soccer sim
Fight Night 2004,sports traditional boxing
Anarchy Online: Shadowlands,roleplaying massively multiplayer online massively multiplayer scifi scifi
Dark Age of Camelot: Shrouded Isles,roleplaying massively multiplayer online fantasy fantasy
NASCAR: Dirt to Daytona,driving racing stock car
Dave Mirra Freestyle BMX 2,sports alternative biking
NFL Blitz 2000,sports traditional football arcade
Obsidian,adventure general general
Battlefield: Bad Company,action shooter shooter firstperson modern modern arcade
Mario Golf: Advance Tour,sports traditional golf sim
Call of Duty: World at War,action shooter shooter firstperson historic historic arcade
Two Point Hospital,simulation virtual career
The Walking Dead: Episode 2 - Starved for Help,miscellaneous adventure general compilation pointandclick
Saints Row: The Third,action adventure modern modern openworld
Bomberman Live,miscellaneous puzzle action general puzzle action
Ni no Kuni II: Revenant Kingdom,action rpg roleplaying japanesestyle
Project CARS 2,racing simulation automobile
Statik,adventure 3d firstperson
Fallout: New Vegas,roleplaying action rpg firstperson firstperson westernstyle
Valkyria Chronicles Remastered,strategy turnbased tactics
The Banner Saga 3,strategy turnbased tactics
Peggle: Dual Shot,miscellaneous puzzle action puzzle puzzle action
Disgaea: Hour of Darkness,strategy turnbased fantasy
Kingdom Hearts HD I.5 + II.5 Remix,miscellaneous compilation
Tiger Woods PGA Tour 11,sports traditional individual golf sim sim
The Movies,strategy tycoon management tycoon business  tycoon
Persona 4 Arena Ultimax,action fighting 2d
Crysis 2,action shooter shooter firstperson scifi scifi arcade
Virtua Tennis: World Tour,sports traditional individual tennis tennis
Rare Replay,miscellaneous compilation
Mercenaries,action adventure modern
Neverwinter Nights: Hordes of the Underdark,roleplaying pcstyle rpg pcstyle rpg westernstyle
Max Payne 2: The Fall of Max Payne,action shooter thirdperson modern
FIFA Soccer 2004,sports traditional soccer sim
Command & Conquer: Generals,strategy realtime modern general modern
Sid Meier's SimGolf,strategy realtime modern general
Quake III Revolution,action shooter firstperson scifi
Street Fighter III: Double Impact,action fighting 2d
Tom Clancy's Ghost Recon Advanced Warfighter 2,action shooter shooter firstperson thirdperson tactical modern modern
Middle-earth: Shadow of Mordor,fantasy action adventure fantasy openworld
Middle-earth: Shadow of Mordor,fantasy action adventure fantasy openworld
SpaceChem,miscellaneous puzzle general puzzle general
Viva Pinata,simulation miscellaneous virtual life virtual virtual life
Freedom Planet,action platformer 2d
Pinball FX 2,action miscellaneous parlor pinball pinball
Pokemon Ultra Sun,roleplaying trainer
Fatal Frame II: Crimson Butterfly Director's Cut,action adventure horror
South Park: The Fractured But Whole,roleplaying general
Blast Off,miscellaneous puzzle puzzle general puzzle general
Star Wars: Starfighter,simulation scifi small spaceship
Guitar Hero World Tour,action miscellaneous rhythm music music
TimeSplitters: Future Perfect,action shooter firstperson scifi
PlanetSide 2,roleplaying scifi massively multiplayer online action shooter shooter firstperson tactical scifi scifi arcade
Planet Coaster,strategy management business  tycoon
Shovel Knight: Specter of Torment,action platformer 2d
Street Fighter X Tekken,action fighting fighting 3d 2d 3d
Guilty Gear Xrd -SIGN-,action fighting 2d
'Splosion Man,action general platformer platformer 2d 2d
Might & Magic: Clash of Heroes,roleplaying general general
TxK,action shooter static shootemup topdown
Pro Evolution Soccer 2009,sports traditional team soccer sim sim
Beyond Good & Evil HD,action adventure fantasy general fantasy
Midnight Club 3: DUB Edition,driving racing gt  street
High Heat Major League Baseball 2003,sports traditional baseball sim
Super Street Fighter II: Turbo Revival,action fighting 2d
FIFA 17,sports team soccer sim
Rakuen,adventure general general
BioShock: The Collection,action miscellaneous shooter compilation firstperson arcade
GT Legends,driving racing simulation gt  street gt  street automobile
F1 2010,driving racing simulation formula one formula one automobile
Maximo: Ghosts to Glory,action platformer 3d
BlazBlue: Central Fiction,action fighting 2d
Prey,general action shooter firstperson arcade
Sound Shapes,action miscellaneous rhythm music maker music maker music
Hearthstone: Goblins Vs. Gnomes,miscellaneous strategy turnbased card battle
MotorStorm,driving racing simulation rally  offroad rally  offroad automobile
Fight Night Champion,sports traditional individual boxing boxing combat boxing  martial arts
Resident Evil 5,action adventure horror horror survival
God of War: Origins Collection,miscellaneous compilation compilation
Salt and Sanctuary,action platformer 2d
Xenogears,roleplaying consolestyle rpg
Space Rangers 2: Rise of the Dominators,roleplaying general general
Tetris DS,miscellaneous puzzle puzzle puzzle stacking stacking
Shin Megami Tensei: Devil Survivor,roleplaying strategy turnbased general general tactics
Prince of Persia: The Two Thrones,action adventure fantasy
Tales From The Borderlands: Episode 1 - Zer0 Sum,miscellaneous general adventure general
