title,genre,platform
NCAA Football 2004,sports traditional football sim,PlayStation 2
God of War,action adventure fantasy,PlayStation 2
Star Wars: Knights of the Old Republic,roleplaying thirdperson,Xbox
Sid Meier's Civilization IV,strategy turnbased historic historic 4x,PC
Madden NFL 2004,sports traditional football sim,GameCube
Virtua Fighter 4,action fighting 3d,PlayStation 2
Super Mario 64,action platformer 3d,Nintendo 64
The Witcher 3: Wild Hunt,action rpg roleplaying action rpg,PC
Burnout 3: Takedown,driving racing arcade,PlayStation 2
Super Smash Bros. Brawl,action fighting fighting 3d 2d 3d,Wii
Company of Heroes,strategy realtime historic general historic,PC
Gran Turismo 2,driving racing gt  street,PlayStation
Tom Clancy's Splinter Cell Pandora Tomorrow,action adventure modern,Xbox
Grand Theft Auto: Chinatown Wars,action adventure modern modern openworld,DS
Pac-Man Championship Edition DX,adventure general action general general arcade,Xbox 360
Street Fighter Alpha 3,action fighting 2d,PlayStation
Tony Hawk's Pro Skater 3,sports alternative skateboarding,Xbox
Divinity: Original Sin II,action rpg roleplaying westernstyle,PC
Unreal Tournament 2004,action shooter shooter firstperson scifi scifi arcade,PC
BioShock Infinite,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Braid,action platformer platformer 2d 2d,Xbox 360
God of War II,action adventure fantasy,PlayStation 2
Super Mario 3D World,platformer 3d action platformer 3d,WiiU
Starcraft II: Wings of Liberty,strategy realtime scifi command,PC
SSX,sports alternative snowboarding,PlayStation 2
Street Fighter IV,action fighting fighting 3d 2d 3d,Xbox 360
Minecraft,action adventure adventure 3d sandbox firstperson fantasy fantasy,PC
Persona 5,roleplaying japanesestyle,PlayStation 4
Persona 4 Golden,roleplaying consolestyle rpg consolestyle rpg japanesestyle,PlayStationVita
SSX 3,sports alternative snowboarding,PlayStation 2
Tom Clancy's Splinter Cell,action adventure modern,Xbox
Grand Theft Auto III,action adventure modern modern openworld,PC
Quake III Arena,action shooter firstperson scifi,Dreamcast
Homeworld,strategy realtime scifi scifi general,PC
Okami,action adventure fantasy,PlayStation 2
The Elder Scrolls IV: Oblivion,roleplaying firstperson firstperson westernstyle,PlayStation 3
Fallout 3,roleplaying firstperson firstperson westernstyle,Xbox 360
Gears of War 2,action shooter shooter thirdperson scifi scifi arcade,Xbox 360
SoulCalibur II,action fighting 3d,GameCube
World Soccer Winning Eleven 6 International,sports traditional soccer sim,PlayStation 2
NFL 2K3,sports traditional football sim,PlayStation 2
Mass Effect 3,roleplaying action rpg action rpg,Xbox 360
Metal Gear Solid V: The Phantom Pain,modern action adventure modern openworld,PlayStation 4
Skies of Arcadia,roleplaying consolestyle rpg,Dreamcast
The Legend of Zelda: Skyward Sword,action adventure fantasy general fantasy openworld,Wii
Mario Kart Super Circuit,driving racing kart,GameBoyAdvance
Rock Band 3,action miscellaneous rhythm music music,Xbox 360
Viewtiful Joe,action beatemup,GameCube
Test Drive Le Mans,driving racing gt  street,Dreamcast
NBA 2K1,sports traditional basketball sim,Dreamcast
Castlevania: Symphony of the Night,action platformer 2d,PlayStation
Star Wars: Knights of the Old Republic,roleplaying thirdperson thirdperson general,PC
Virtua Fighter 4: Evolution,action fighting 3d,PlayStation 2
Uncharted 4: A Thief's End,general modern action adventure linear,PlayStation 4
Braid,action platformer platformer 2d 2d,PlayStation 3
Mass Effect 3,roleplaying action rpg action rpg,PlayStation 3
Paper Mario,roleplaying consolestyle rpg,Nintendo 64
Wipeout XL,driving racing futuristic,PlayStation
Grand Theft Auto: San Andreas,action adventure modern,Xbox
INSIDE,action platformer 2d,XboxOne
World of Warcraft,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Grand Theft Auto: San Andreas,action adventure modern modern openworld,PC
Flipnote Studio,miscellaneous general application,DS
World Soccer Winning Eleven 7 International,sports traditional soccer sim,PlayStation 2
NBA 2K2,sports traditional basketball sim,Dreamcast
SoulCalibur II,action fighting 3d,PlayStation 2
The Elder Scrolls V: Skyrim,roleplaying firstperson firstperson westernstyle,PlayStation 3
Prince of Persia: The Sands of Time,action adventure fantasy,Xbox
Call of Duty 4: Modern Warfare,action shooter shooter firstperson modern modern arcade,PC
Divinity: Original Sin II - Definitive Edition,roleplaying westernstyle,PlayStation 4
God of War III,action adventure fantasy fantasy linear,PlayStation 3
NFL 2K3,sports traditional football sim,GameCube
SSX Tricky,sports alternative snowboarding,PlayStation 2
