title,genre,platform
NHL 2004,sports traditional ice hockey sim,GameCube
World Series Baseball,sports traditional baseball sim,Xbox
Wizardry 8,roleplaying firstperson firstperson general westernstyle,PC
Aliens Versus Predator 2,action shooter shooter firstperson scifi scifi arcade,PC
Operation Flashpoint: Cold War Crisis,action shooter shooter firstperson tactical modern modern,PC
Rumble Racing,driving racing arcade,PlayStation 2
Metal Slug X,action shooter scrolling,PlayStation
Tropico,strategy miscellaneous realtime management compilation modern modern government,PC
Giants: Citizen Kabuto,action shooter shooter thirdperson scifi scifi arcade,PC
MotoGP 3: Ultimate Racing Technology,driving racing motorcycle street,Xbox
Rocket League,racing futuristic sports team soccer arcade,PlayStation 4
Dead or Alive 4,action fighting fighting 3d 3d,Xbox 360
NASCAR SimRacing,driving racing simulation stock car stock car automobile,PC
Pure,driving racing arcade arcade automobile,Xbox 360
LocoRoco 2,action platformer platformer 2d 2d,PSP
Crysis 2,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
The Lord of the Rings Online: Mines of Moria,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
SoulCalibur IV,action fighting fighting 3d 3d,PlayStation 3
Kingdom Hearts,roleplaying action rpg,PlayStation 2
The Binding of Isaac: Afterbirth,action shooter shootemup topdown,PC
Hotline Miami,action action adventure general general linear,PlayStationVita
Amnesia: The Dark Descent,action adventure horror horror survival,PC
SoulCalibur IV,action fighting fighting 3d 3d,Xbox 360
Project Gotham Racing,driving racing gt  street,Xbox
Fable,roleplaying action rpg,Xbox
Forza Horizon,driving racing simulation gt  street gt  street automobile,Xbox 360
Chaos Reborn,fantasy strategy turnbased general,PC
Assassin's Creed Origins,action adventure openworld,XboxOne
GTR: FIA GT Racing Game,driving racing simulation gt  street automobile,PC
Final Fantasy IX,roleplaying japanesestyle,PlayStation 4
Shadow Hearts: Covenant,roleplaying consolestyle rpg,PlayStation 2
Rogue Legacy,action platformer platformer 2d 2d,PlayStationVita
Madden NFL 10,sports traditional team football sim sim,PlayStation 3
Syphon Filter: Logan's Shadow,action shooter shooter thirdperson modern modern arcade,PSP
Football Manager 2011,sports traditional team soccer management management,PC
Dust: An Elysian Tail,roleplaying action rpg action rpg,PC
NBA Live 2005,sports traditional basketball sim,Xbox
NHL 2004,sports traditional ice hockey sim,PlayStation 2
NFL 2K2,sports traditional football sim,PlayStation 2
South Park: The Stick of Truth,roleplaying general general,PC
Yakuza Kiwami 2,action adventure openworld,PlayStation 4
Final Fantasy XII: The Zodiac Age,roleplaying japanesestyle,PC
Monkey Island 2 Special Edition: LeChuck's Revenge,adventure general general pointandclick,Xbox 360
Assassin's Creed III,action adventure historic historic openworld,PlayStation 3
Fire Emblem: The Sacred Stones,strategy turnbased fantasy,GameBoyAdvance
Dragon Age: Inquisition,general roleplaying general action rpg westernstyle,XboxOne
Dark Souls: Prepare to Die Edition,roleplaying action rpg action rpg,PC
The Binding of Isaac: Afterbirth +,action shooter shootemup topdown,Switch
NBA 2K13,sports traditional team basketball sim sim,WiiU
Shadow Tactics: Blades of the Shogun,strategy realtime tactics,PC
Super Smash Bros. for Nintendo 3DS,fighting 3d 2d action fighting 2d 3d,3DS
Medieval II: Total War Kingdoms,strategy realtime historic general,PC
Call of Duty: World at War,action shooter shooter firstperson historic historic arcade,PlayStation 3
West of Loathing,roleplaying general,Switch
DJMax Respect,action rhythm music,PlayStation 4
SUPERHOT VR,action shooter firstperson tactical,PC
Pro Evolution Soccer 2017,sports team soccer sim,PlayStation 4
Resogun: Defenders,action shooter shootemup horizontal,PlayStation 4
Shovel Knight,platformer 2d action platformer 2d,PC
Final Fantasy X / X-2 HD Remaster,roleplaying miscellaneous consolestyle rpg compilation compilation,PlayStation 3
DmC: Devil May Cry,action general action adventure fantasy general fantasy linear,PC
The Legend of Zelda: Four Swords Anniversary Edition,action adventure fantasy general fantasy,DS
Maboshi's Arcade,miscellaneous puzzle action puzzle puzzle action,Wii
Peggle Deluxe,miscellaneous puzzle action puzzle puzzle action,PC
Viewtiful Joe 2,action beatemup,PlayStation 2
Tony Hawk's Underground,sports alternative skateboarding,Xbox
WWE SmackDown! Here Comes the Pain,action fighting wrestling,PlayStation 2
Tony Hawk's Pro Skater 4,sports alternative skateboarding,GameBoyAdvance
Hot Shots Golf 3,sports traditional golf arcade,PlayStation 2
Monopoly Tycoon,strategy tycoon management tycoon business  tycoon,PC
FIFA 2001 Major League Soccer,sports traditional soccer sim,PlayStation
Indigo Prophecy,adventure 3d modern thirdperson modern,PC
Prince of Persia: The Two Thrones,action adventure fantasy fantasy linear,PC
Sam & Max Episode 204: Chariots of the Dogs,adventure general 3d pointandclick thirdperson,PC
Marvel vs. Capcom 3: Fate of Two Worlds,action fighting fighting 2d 2d,Xbox 360
Assetto Corsa,driving general gt  street racing simulation automobile,PC
Ys VIII: Lacrimosa of DANA,roleplaying action rpg,PlayStation 4
Machinarium,adventure general thirdperson general pointandclick scifi,PC
Frozen Synapse,strategy turnbased general modern tactics,PC
Champions of Norrath,roleplaying action rpg,PlayStation 2
F1 2016,racing simulation automobile,XboxOne
Valkyria Chronicles,general historic strategy turnbased tactics,PC
Freelancer,simulation scifi space small spaceship small spaceship combat,PC
Guitar Hero 5,action miscellaneous rhythm music music,Xbox 360
Zenzizenzic,action general,PC
NBA Jam: On Fire Edition,sports traditional team basketball arcade arcade,Xbox 360
Galactic Civilizations III: Crusade,strategy turnbased 4x,PC
The Wolf Among Us: Episode 1 - Faith,action adventure adventure fantasy general fantasy pointandclick,PC
Final Fantasy IV Advance,roleplaying consolestyle rpg,GameBoyAdvance
Final Fantasy XV: Windows Edition,roleplaying action rpg,PC
SteamWorld Dig 2,action action adventure general platformer 2d,PC
Super Stardust HD,action general shooter shooter static static shootemup topdown,PlayStation 3
Sine Mora,action shooter shooter scrolling scrolling shootemup vertical horizontal,PlayStationVita
Super Paper Mario,action platformer platformer 3d 3d,Wii
Mega Man Legacy Collection,miscellaneous compilation,PC
Star Wars: Rogue Squadron,simulation scifi small spaceship,Nintendo 64
"Warhammer 40,000: Dawn of War II - Chaos Rising",strategy realtime fantasy general fantasy,PC
Far Cry 2,action shooter shooter firstperson modern modern arcade,PC
Professor Layton and the Curious Village,miscellaneous adventure puzzle edutainment general puzzle general,DS
The Walking Dead: Episode 3 - Long Road Ahead,miscellaneous adventure general compilation pointandclick,PC
AudioSurf,action miscellaneous rhythm music music,PC
Thumper,action rhythm music,PC
Yakuza 0,action adventure openworld,PlayStation 4
Super Mario 64 DS,action platformer platformer 3d 3d,DS
Dead Rising,action adventure horror horror openworld,Xbox 360
MLB The Show 17,sports team baseball sim,PlayStation 4
BattleBlock Theater,action platformer 2d,PC
Dragon Ball FighterZ,action fighting 2d,PC
Star Wars: Knights of the Old Republic II - The Sith Lords,roleplaying thirdperson thirdperson general,PC
Destiny 2,action shooter firstperson arcade,PlayStation 4
Mario Kart 7,driving racing arcade kart kart automobile,3DS
Prince of Persia: The Two Thrones,action adventure fantasy,Xbox
Halo: The Master Chief Collection,miscellaneous compilation action shooter firstperson scifi arcade,XboxOne
Batman: The Enemy Within - Episode 5: Same Stitch,adventure pointandclick,PC
NCAA Football 11,sports traditional team football sim sim,PlayStation 3
MVP Baseball 2005,sports traditional team baseball sim sim,PC
Phantasy Star Online Episode I & II,roleplaying massively multiplayer online scifi,GameCube
Assault Android Cactus,general scrolling action shooter shootemup topdown,PlayStation 4
Persona 4 Arena Ultimax,action fighting 2d,Xbox 360
Darksiders II,modern action adventure fantasy fantasy openworld,WiiU
Guitar Hero: Metallica,action miscellaneous rhythm music music,Wii
Fire Emblem: Path of Radiance,strategy turnbased fantasy,GameCube
Final Fantasy XI,roleplaying massively multiplayer online fantasy,PlayStation 2
Full Metal Furies,action beatemup 2d,PC
Super Mega Baseball,traditional sports team baseball arcade,PlayStation 4
NASCAR Thunder 2004,driving racing stock car,Xbox
DDRMAX: Dance Dance Revolution,miscellaneous rhythm dancing,PlayStation 2
NASCAR Thunder 2002,driving racing stock car,PlayStation 2
NHL 2001,sports traditional ice hockey sim,PlayStation 2
F355 Challenge,driving racing gt  street,Dreamcast
The Elder Scrolls III: Bloodmoon,roleplaying firstperson firstperson westernstyle,PC
Boom Blox,miscellaneous puzzle puzzle general puzzle general,Wii
Madden NFL 08,sports traditional team football sim sim,Xbox 360
Pro Evolution Soccer 2016,sports team soccer sim,XboxOne
Far Cry 2,action shooter shooter firstperson modern modern arcade,PlayStation 3
Rogue Legacy,roleplaying general action platformer platformer 2d 2d,PC
BattleBlock Theater,action platformer platformer 2d 2d,Xbox 360
Shantae: Half-Genie Hero - Ultimate Edition,action platformer 2d,Switch
Castlevania: Lords of Shadow,action adventure fantasy general fantasy,PlayStation 3
Pokemon Diamond Version,roleplaying consolestyle rpg consolestyle rpg trainer,DS
Virtua Fighter 5,action fighting fighting 3d 3d,PlayStation 3
Ikaruga,action shooter scrolling,GameCube
Thief: Deadly Shadows,action adventure fantasy general fantasy,PC
Borderlands: The Secret Armory of General Knoxx,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,miscellaneous adventure general 3d compilation thirdperson,PlayStation 3
UFC Undisputed 3,action sports fighting fighting individual wrestling combat wrestling,Xbox 360
South Park: The Stick of Truth,general roleplaying general,PlayStation 3
The Wolf Among Us: Episode 5 - Cry Wolf,action adventure adventure general fantasy pointandclick,Xbox 360
Rogue Legacy,action platformer platformer 2d 2d,PlayStation 4
Brothers: A Tale of Two Sons,action adventure fantasy fantasy linear,PlayStation 3
Football Manager 2014,sports traditional team soccer management management,PC
System Shock: Enhanced Edition,action adventure general,PC
Metal Gear Solid: The Twin Snakes,action adventure modern,GameCube
EverQuest: Gates of Discord,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
The Lord of the Rings: The Return of the King,action beatemup,PlayStation 2
The Sims,miscellaneous virtual life,GameCube
NASCAR Thunder 2003,driving racing stock car,GameCube
FIFA 2001 Major League Soccer,sports traditional team soccer sim sim,PC
Fight Night 2004,sports traditional boxing,Xbox
Wipeout: Omega Collection,racing arcade futuristic,PlayStation 4
Mortal Kombat XL,action fighting 2d,PlayStation 4
Lego Star Wars II: The Original Trilogy,action adventure scifi,Xbox
Sid Meier's Civilization V: Brave New World,strategy turnbased historic historic 4x,PC
The Warriors,action beatemup,Xbox
Red Faction: Guerrilla,action shooter shooter thirdperson scifi scifi arcade,Xbox 360
Geometry Wars 3: Dimensions,action shooter static shootemup topdown,PlayStation 4
Ratchet & Clank,action platformer 3d,PlayStation 4
MLB The Show 16,sports team baseball arcade sim,PlayStation 4
Final Fantasy IV,roleplaying consolestyle rpg consolestyle rpg japanesestyle,DS
Marvel vs. Capcom 2,action fighting fighting 2d 2d,PlayStation 3
Darkest Dungeon,roleplaying general,Switch
Mutant Mudds Collection,action miscellaneous platformer compilation 2d,Switch
NeuroVoider,action shooter shootemup topdown,Switch
Mortal Kombat,action fighting fighting 3d 2d,PlayStationVita
The Last Door: Season 2,adventure pointandclick,PC
F.E.A.R.,action shooter shooter firstperson modern modern arcade,Xbox 360
Brothers in Arms: Earned in Blood,action shooter firstperson historic,Xbox
Far Cry 4,action shooter firstperson modern arcade,PlayStation 4
Tetris,miscellaneous puzzle puzzle puzzle stacking general,PSP
Final Fantasy XI,roleplaying massively multiplayer online massively multiplayer fantasy fantasy,PC
Trine 2,action platformer platformer 2d 2d,Xbox 360
Need for Speed Underground,driving racing gt  street,PlayStation 2
Serious Sam: The Second Encounter,action shooter shooter firstperson scifi arcade,PC
The Sims: Hot Date,simulation miscellaneous virtual life virtual virtual life,PC
American McGee's Alice,action adventure horror horror survival,PC
Turok: Dinosaur Hunter,action shooter firstperson scifi,Nintendo 64
Castlevania: Order of Ecclesia,action roleplaying platformer platformer action rpg 2d 2d,DS
Batman: Arkham City - Armored Edition,action adventure fantasy fantasy openworld,WiiU
Borderlands: The Secret Armory of General Knoxx,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
Chime Sharp,puzzle general,PC
Shantae and the Pirate's Curse,action platformer 2d,WiiU
Trials Evolution: Gold Edition,driving racing arcade motorcycle other motocross motocross,PC
Prince of Persia,action adventure fantasy general fantasy,PlayStation 3
Moss,action adventure general,PlayStation 4
Bionic Commando Rearmed,action platformer platformer 2d 2d,Xbox 360
Sid Meier's Civilization Revolution,strategy turnbased historic general historic,PlayStation 3
ESPN NBA 2K5,sports traditional basketball sim,Xbox
"Warhammer 40,000: Dawn of War - Winter Assault",strategy realtime scifi scifi general,PC
Silent Hill 3,action adventure horror,PlayStation 2
Terraria,action action adventure platformer platformer sandbox 2d 2d,PlayStationVita
Tomb Raider: Definitive Edition,modern action adventure general modern linear,PlayStation 4
Starcraft Remastered,strategy realtime command,PC
DmC: Devil May Cry,action general action adventure fantasy general fantasy linear,PlayStation 3
NBA 2K18,sports team basketball sim,XboxOne
Shadow Tactics: Blades of the Shogun,strategy realtime tactics,PlayStation 4
Planescape: Torment - Enhanced Edition,roleplaying westernstyle,PC
Super Meat Boy,action platformer 2d,PlayStation 4
Pyre,roleplaying general,PlayStation 4
Tony Hawk's Underground 2,sports alternative individual skateboarding skateboarding skate  skateboard,PC
FIFA 17,sports team soccer sim,PlayStation 4
Trine 2,action platformer platformer 2d 2d,PlayStation 3
inFamous,action adventure modern scifi scifi openworld,PlayStation 3
"Papers, Please",adventure general general,PC
DOOM,scifi action shooter firstperson thirdperson arcade,PC
DiRT 4,racing simulation automobile,PlayStation 4
Space Invaders Extreme,action shooter shooter static static shootemup vertical,DS
Tiger Woods PGA Tour 12: The Masters,sports traditional individual golf sim sim,Wii
Radiant Historia: Perfect Chronology,roleplaying japanesestyle,3DS
Star Wars: The Old Republic,scifi roleplaying massively multiplayer online massively multiplayer scifi,PC
Skate,sports alternative individual skateboarding skateboarding skate  skateboard,PlayStation 3
Mario + Rabbids: Kingdom Battle,action general strategy turnbased tactics,Switch
Far Cry 2,action shooter shooter firstperson modern modern arcade,Xbox 360
Flat Heroes,action platformer 2d,Switch
Gone Home: Console Edition,adventure 3d firstperson,PlayStation 4
Ratchet & Clank: Size Matters,action shooter platformer shooter thirdperson 3d scifi scifi arcade,PSP
FIFA 07 Soccer,sports traditional soccer sim,Xbox
Fight Night 2004,sports traditional boxing,PlayStation 2
Anarchy Online: Shadowlands,roleplaying massively multiplayer online massively multiplayer scifi scifi,PC
Dark Age of Camelot: Shrouded Isles,roleplaying massively multiplayer online fantasy fantasy,PC
NASCAR: Dirt to Daytona,driving racing stock car,GameCube
Dave Mirra Freestyle BMX 2,sports alternative biking,GameBoyAdvance
NFL Blitz 2000,sports traditional football arcade,Nintendo 64
Obsidian,adventure general general,PC
Battlefield: Bad Company,action shooter shooter firstperson modern modern arcade,PlayStation 3
Mario Golf: Advance Tour,sports traditional golf sim,GameBoyAdvance
Call of Duty: World at War,action shooter shooter firstperson historic historic arcade,Xbox 360
Two Point Hospital,simulation virtual career,PC
The Walking Dead: Episode 2 - Starved for Help,miscellaneous adventure general compilation pointandclick,PC
Saints Row: The Third,action adventure modern modern openworld,PC
Bomberman Live,miscellaneous puzzle action general puzzle action,Xbox 360
Ni no Kuni II: Revenant Kingdom,action rpg roleplaying japanesestyle,PlayStation 4
Project CARS 2,racing simulation automobile,XboxOne
Statik,adventure 3d firstperson,PlayStation 4
Fallout: New Vegas,roleplaying action rpg firstperson firstperson westernstyle,PC
Valkyria Chronicles Remastered,strategy turnbased tactics,PlayStation 4
The Banner Saga 3,strategy turnbased tactics,Switch
Peggle: Dual Shot,miscellaneous puzzle action puzzle puzzle action,DS
Disgaea: Hour of Darkness,strategy turnbased fantasy,PlayStation 2
Kingdom Hearts HD I.5 + II.5 Remix,miscellaneous compilation,PlayStation 4
Tiger Woods PGA Tour 11,sports traditional individual golf sim sim,Wii
The Movies,strategy tycoon management tycoon business  tycoon,PC
Persona 4 Arena Ultimax,action fighting 2d,PlayStation 3
Crysis 2,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Virtua Tennis: World Tour,sports traditional individual tennis tennis,PSP
Rare Replay,miscellaneous compilation,XboxOne
Mercenaries,action adventure modern,PlayStation 2
Neverwinter Nights: Hordes of the Underdark,roleplaying pcstyle rpg pcstyle rpg westernstyle,PC
Max Payne 2: The Fall of Max Payne,action shooter thirdperson modern,Xbox
FIFA Soccer 2004,sports traditional soccer sim,PlayStation 2
Command & Conquer: Generals,strategy realtime modern general modern,PC
Sid Meier's SimGolf,strategy realtime modern general,PC
Quake III Revolution,action shooter firstperson scifi,PlayStation 2
Street Fighter III: Double Impact,action fighting 2d,Dreamcast
Tom Clancy's Ghost Recon Advanced Warfighter 2,action shooter shooter firstperson thirdperson tactical modern modern,PlayStation 3
Middle-earth: Shadow of Mordor,fantasy action adventure fantasy openworld,PC
Middle-earth: Shadow of Mordor,fantasy action adventure fantasy openworld,PlayStation 4
SpaceChem,miscellaneous puzzle general puzzle general,PC
Viva Pinata,simulation miscellaneous virtual life virtual virtual life,Xbox 360
Freedom Planet,action platformer 2d,WiiU
Pinball FX 2,action miscellaneous parlor pinball pinball,PC
Pokemon Ultra Sun,roleplaying trainer,3DS
Fatal Frame II: Crimson Butterfly Director's Cut,action adventure horror,Xbox
South Park: The Fractured But Whole,roleplaying general,XboxOne
Blast Off,miscellaneous puzzle puzzle general puzzle general,PSP
Star Wars: Starfighter,simulation scifi small spaceship,PlayStation 2
Guitar Hero World Tour,action miscellaneous rhythm music music,PlayStation 3
TimeSplitters: Future Perfect,action shooter firstperson scifi,PlayStation 2
PlanetSide 2,roleplaying scifi massively multiplayer online action shooter shooter firstperson tactical scifi scifi arcade,PC
Planet Coaster,strategy management business  tycoon,PC
Shovel Knight: Specter of Torment,action platformer 2d,Switch
Street Fighter X Tekken,action fighting fighting 3d 2d 3d,PlayStation 3
Guilty Gear Xrd -SIGN-,action fighting 2d,PlayStation 4
'Splosion Man,action general platformer platformer 2d 2d,Xbox 360
Might & Magic: Clash of Heroes,roleplaying general general,PlayStation 3
TxK,action shooter static shootemup topdown,PlayStationVita
Pro Evolution Soccer 2009,sports traditional team soccer sim sim,Wii
Beyond Good & Evil HD,action adventure fantasy general fantasy,Xbox 360
Midnight Club 3: DUB Edition,driving racing gt  street,PlayStation 2
High Heat Major League Baseball 2003,sports traditional baseball sim,PlayStation 2
Super Street Fighter II: Turbo Revival,action fighting 2d,GameBoyAdvance
FIFA 17,sports team soccer sim,XboxOne
Rakuen,adventure general general,PC
BioShock: The Collection,action miscellaneous shooter compilation firstperson arcade,XboxOne
GT Legends,driving racing simulation gt  street gt  street automobile,PC
F1 2010,driving racing simulation formula one formula one automobile,PlayStation 3
Maximo: Ghosts to Glory,action platformer 3d,PlayStation 2
BlazBlue: Central Fiction,action fighting 2d,PlayStation 4
Prey,general action shooter firstperson arcade,XboxOne
Sound Shapes,action miscellaneous rhythm music maker music maker music,PlayStationVita
Hearthstone: Goblins Vs. Gnomes,miscellaneous strategy turnbased card battle,PC
MotorStorm,driving racing simulation rally  offroad rally  offroad automobile,PlayStation 3
Fight Night Champion,sports traditional individual boxing boxing combat boxing  martial arts,PlayStation 3
Resident Evil 5,action adventure horror horror survival,PlayStation 3
God of War: Origins Collection,miscellaneous compilation compilation,PlayStation 3
Salt and Sanctuary,action platformer 2d,PlayStation 4
Xenogears,roleplaying consolestyle rpg,PlayStation
Space Rangers 2: Rise of the Dominators,roleplaying general general,PC
Tetris DS,miscellaneous puzzle puzzle puzzle stacking stacking,DS
Shin Megami Tensei: Devil Survivor,roleplaying strategy turnbased general general tactics,DS
Prince of Persia: The Two Thrones,action adventure fantasy,GameCube
Tales From The Borderlands: Episode 1 - Zer0 Sum,miscellaneous general adventure general,PC
Top Spin 4,sports traditional individual tennis tennis,Xbox 360
Sprint Vector,racing arcade other,PC
Battlefield 3,action shooter shooter firstperson modern tactical modern arcade,Xbox 360
UFC Undisputed 2010,action sports fighting fighting individual wrestling combat wrestling,Xbox 360
Monster Hunter Tri,roleplaying action rpg action rpg,Wii
Puzzle Quest: Challenge of the Warlords,miscellaneous puzzle puzzle puzzle matching matching,PC
Toki Tori 2 +,puzzle action,Switch
Steins;Gate 0,adventure visual novel,PlayStationVita
Assassin's Creed III,action adventure historic historic openworld,Xbox 360
Deus Ex: Invisible War,action adventure scifi,Xbox
Return to Castle Wolfenstein: Tides of War,action shooter firstperson historic,Xbox
Hitman 2: Silent Assassin,action adventure modern,Xbox
Heroes of Might and Magic IV,strategy turnbased fantasy general fantasy,PC
Knockout Kings 2001,sports traditional boxing,PlayStation
Command & Conquer: Red Alert 2,strategy realtime scifi scifi command,PC
Shogun: Total War,strategy turnbased realtime historic historic general historic,PC
Bayonetta,action adventure linear,Switch
Outland,action platformer platformer 3d 2d,Xbox 360
Rayman Legends: Definitive Edition,action platformer 2d,Switch
Shin Megami Tensei: Devil Survivor 2 Record Breaker,roleplaying general strategy turnbased tactics,3DS
Gears of War 4,scifi action shooter thirdperson arcade,XboxOne
Mass Effect 3: Citadel,roleplaying action rpg action rpg,Xbox 360
Halo 5: Guardians,shooter scifi scifi action shooter firstperson arcade,XboxOne
DiRT,driving racing simulation rally  offroad rally  offroad automobile,PC
Darkest Dungeon,roleplaying general,PC
F1 2017,racing simulation automobile,XboxOne
Super Street Fighter IV: Arcade Edition,action fighting fighting 3d 2d 3d,PC
NBA 2K7,sports traditional team basketball sim sim,Xbox 360
TOCA Race Driver 3,driving general,Xbox
NBA 2K6,sports traditional basketball sim,Xbox
Day of the Tentacle Remastered,adventure pointandclick,PlayStation 4
Football Manager 2012,sports traditional team football soccer management management,PC
The Elder Scrolls V: Skyrim,roleplaying westernstyle,Switch
ZEN Pinball 2: South Park: Super-Sweet Pinball,action miscellaneous parlor pinball,PlayStation 4
Trine 2: Director's Cut,action platformer platformer 2d 2d,WiiU
Devil May Cry 4,action action adventure shooter fantasy general fantasy linear thirdperson fantasy,Xbox 360
The Incredible Hulk: Ultimate Destruction,action adventure scifi,Xbox
Guitar Hero: Metallica,action miscellaneous rhythm music music,Xbox 360
Guild Wars Factions,roleplaying general general massively multiplayer,PC
Guacamelee!,action platformer platformer 2d 2d,PlayStation 3
Gorogoa,puzzle general,PC
No More Heroes 2: Desperate Struggle,action beatemup beatemup 3d,Wii
LEGO Star Wars II: The Original Trilogy,action adventure scifi,PlayStation 2
Battle Chasers: Nightwar,roleplaying action rpg japanesestyle,XboxOne
NBA 2K14,sports traditional team basketball sim sim,PlayStation 3
Sid Meier's Civilization Revolution,strategy turnbased historic general historic,Xbox 360
80 Days (2015),adventure visual novel,PC
Spore,strategy breedingconstructing general breedingconstructing,PC
Unity of Command,strategy turnbased historic general,PC
NBA Live 2005,sports traditional basketball sim,PlayStation 2
Colin McRae Rally 04,driving racing rally  offroad,Xbox
Skies of Arcadia Legends,roleplaying consolestyle rpg,GameCube
MotoGP,driving racing motorcycle street,Xbox
Fear Effect 2: Retro Helix,action adventure horror,PlayStation
Sega GT,driving racing gt  street,Dreamcast
Midnight Club 3: DUB Edition,driving racing gt  street,Xbox
Hearthstone: The Grand Tournament,strategy turnbased card battle,PC
Marvel vs. Capcom 3: Fate of Two Worlds,action fighting fighting 2d 2d,PlayStation 3
Metro Redux,action miscellaneous shooter compilation firstperson scifi,PC
"Time Gentlemen, Please!",adventure general general pointandclick,PC
The Walking Dead: Episode 2 - Starved for Help,miscellaneous adventure general compilation pointandclick,Xbox 360
Total War: WARHAMMER II - Rise of the Tomb Kings,strategy realtime tactics,PC
Grim Fandango Remastered,adventure general 3d thirdperson fantasy,PlayStationVita
Deus Ex: Mankind Divided,action adventure general,PlayStation 4
Need for Speed: Most Wanted - A Criterion Game,driving racing simulation gt  street gt  street automobile,PlayStation 3
Frozen Synapse Prime,general strategy turnbased scifi modern tactics,PlayStationVita
Resident Evil 4 HD,action adventure horror horror survival,PlayStation 3
Killzone 3,action shooter shooter firstperson scifi scifi arcade,PlayStation 3
Guacamelee! 2,action platformer 2d,PlayStation 4
F1 2012,driving racing simulation formula one formula one automobile,Xbox 360
Stacking,miscellaneous puzzle action puzzle puzzle action,Xbox 360
Thumper,action rhythm music,PlayStation 4
Battlefield 1943,action shooter shooter firstperson historic historic arcade,PlayStation 3
F1 2011,driving racing simulation formula one formula one automobile,Xbox 360
Devil May Cry 3: Dante's Awakening,action adventure fantasy,PlayStation 2
Axiom Verge,scifi action adventure general,PlayStation 4
Professor Layton and the Diabolical Box,miscellaneous puzzle puzzle general puzzle general,DS
Dishonored: Death of the Outsider,action adventure general,XboxOne
Enter The Gungeon,action general,XboxOne
The Banner Saga 2,strategy turnbased tactics,XboxOne
Europa Universalis IV: Wealth of Nations,strategy realtime general historic,PC
BioShock Infinite: Burial at Sea - Episode Two,action shooter shooter firstperson scifi scifi arcade,Xbox 360
Mass Effect 3: Citadel,roleplaying action rpg action rpg,PC
NBA 2K9,sports traditional team basketball sim sim,Xbox 360
Red Faction II,action shooter firstperson scifi,PlayStation 2
Disciples II: Dark Prophecy,strategy turnbased fantasy general fantasy,PC
Silent Hill 2: Restless Dreams,action adventure horror,Xbox
Tony Hawk's Pro Skater 2,sports alternative skateboarding,Nintendo 64
Fight Night Round 3,sports traditional boxing,PlayStation 2
Just Cause 2,action adventure modern modern openworld,PC
Nex Machina: Death Machine,action shooter shootemup topdown,PC
Mortal Kombat,action fighting fighting 2d 2d,PlayStation 3
Polybius,action shooter rail,PlayStation 4
Crysis Warhead,action shooter shooter firstperson scifi scifi arcade,PC
Devil May Cry 4,action action adventure fantasy beatemup general fantasy linear,PlayStation 3
Need for Speed: Most Wanted - A Criterion Game,driving racing simulation gt  street gt  street automobile,Xbox 360
Uncharted: The Lost Legacy,action general,PlayStation 4
Tom Clancy's Rainbow Six 3: Black Arrow,action shooter firstperson tactical modern,Xbox
Assassin's Creed IV: Black Flag,action adventure historic historic openworld,PC
F1 2018,racing simulation automobile,XboxOne
NBA 2K6,sports traditional basketball sim,PlayStation 2
Hyper Light Drifter,roleplaying action rpg,PC
Enter the Gungeon,action general,PC
Worms 2: Armageddon,strategy turnbased wargame turnbased fantasy artillery,Xbox 360
Skate 2,sports alternative individual skateboarding skateboarding skate  skateboard,PlayStation 3
Detention,adventure general,PlayStation 4
Hitman - Episode 2: Sapienza,action adventure general,PC
ZEN Pinball 2: Aliens Vs. Pinball,action pinball,PlayStation 4
Child of Light,action roleplaying general general general,WiiU
Bit.Trip Complete,miscellaneous compilation compilation,Wii
Classic NES Series: Super Mario Bros.,action platformer 2d,GameBoyAdvance
NBA Live 2004,sports traditional basketball sim,GameCube
Age of Mythology: The Titans,strategy realtime fantasy general fantasy,PC
SimCity 4,strategy city building management modern modern government,PC
Sega Soccer Slam,sports traditional soccer arcade,GameCube
Splashdown,driving racing snow  water,PlayStation 2
Spider-Man: Mysterio's Menace,action general,GameBoyAdvance
Super Mario Advance,action platformer 2d,GameBoyAdvance
Microsoft Train Simulator,simulation train vehicle train,PC
San Francisco Rush 2049,driving racing futuristic,Dreamcast
WipeOut 64,driving racing futuristic,Nintendo 64
Dead or Alive,action fighting 3d,PlayStation
The Incredible Hulk: Ultimate Destruction,action adventure scifi,GameCube
Split/Second,driving racing general general arcade automobile,PlayStation 3
Lone Survivor: The Director's Cut,action adventure horror horror survival,PlayStation 3
The Lord of the Rings: The Return of the King,action beatemup,GameCube
"Snipperclips Plus: Cut It Out, Together!",puzzle general,Switch
The Walking Dead: Episode 1 - A New Day,action miscellaneous adventure general compilation pointandclick,PlayStation 3
Hatsune Miku: Project Diva Future Tone - Colorful Tone,action rhythm music,PlayStation 4
Hatsune Miku: Project Diva Future Tone - Future Sound,action rhythm music,PlayStation 4
Dark Void Zero,action platformer platformer 2d 2d,DS
